artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Rick Ross Featuring Drake,0,57.0,5,0,0,,
Dae Dae,0,80.12,152,0,0,,
Tommy Hunt,2,78.38,68,0,0,,
Akon Featuring Colby O'Donis & Kardinal Offishall,1,31.32,252,0,0,,
Robin McNamara,0,53.6,133,0,0,,
Metro Boomin Featuring 21 Savage,0,63.13,18,0,0,0.719,0.705
Soul Brothers Six,0,91.0,1,0,0,,
SpotemGottem Featuring Pooh Shiesty Or DaBaby,0,33.74,275,0,0,,
The Atlanta Disco Band,0,96.75,9,0,0,,
Rod Wave Featuring Lil Yachty & Lil Baby,0,50.0,1,0,0,,
Paul Russell,1,42.38,230,0,0,,
Paper Lace,0,50.0,201,0,0,,
Dru Hill,7,46.68,1602,0,0,,
Paul Humphrey & His Cool Aid Chemists,0,53.56,135,0,0,,
Clipse Featuring Tyler| the Creator,0,65.0,1,0,0,,
Eric Hine,0,81.0,14,0,0,,
Inner City,1,82.82,85,0,0,,
Dante and the Evergreens,0,51.26,110,0,0,,
Levert,6,60.3,387,0,0,,
Chris Hodge,0,56.38,35,0,0,,
Debbie Jacobs,0,77.5,9,0,0,,
The Baltimore And Ohio Marching Band,0,96.0,5,0,0,,
GAYLE,1,13.52,324,0,0,,
Wind,0,52.56,44,0,0,,
Ephraim Lewis,0,84.44,44,0,0,,
Glorilla & Sexyy Red,1,36.77,252,0,0,,
21 Savage| Tommy Newport & Mikky Ekko,0,78.5,2,0,0,,
Fat Joe & Dre Featuring Eminem & Mary J. Blige,0,97.0,1,0,0,,
Brandy| Tamia| Gladys Knight & Chaka Khan,1,40.85,209,0,0,,
Billy Swan,1,49.48,193,0,0,,
Wale Featuring Kid Cudi,0,97.0,1,0,0,,
A Perfect Circle,1,79.0,179,0,0,,
P$C Featuring T.I. & Lil Scrappy,0,83.36,62,0,0,,
Mandy Moore,1,65.22,346,0,0,,
Hikaru Utada & Skrillex,0,98.0,1,0,0,,
Future| Metro Boomin & A$AP Rocky,0,71.0,1,0,0,,
Tessanne Chin,1,57.5,1,0,0,,
Maluma & Carin Leon,1,79.71,148,0,0,,
Birdman Featuring Lil Wayne,4,70.04,412,0,0,,
Expose,7,40.34,2061,0,0,,
Rauw Alejandro & Laura Pausini,0,82.0,1,0,0,,
Canyon,0,98.0,1,0,0,,
Gunna Featuring Wizkid,0,82.0,2,0,0,,
Labelle,0,37.25,190,0,0,,
The Clovers,0,51.59,152,0,0,,
Wonder Girls,0,76.0,1,0,0,,
The Truth,0,77.56,44,0,0,,
Dennis DeYoung,2,60.78,331,0,0,,
Playboi Carti| Future & Travis Scott,0,49.0,1,0,0,,
Nicki Minaj Featuring J. Cole,0,63.0,1,0,0,,
G-Eazy Featuring Chris Brown & Mark Morrison,0,64.0,1,0,0,,
DDG,1,88.64,63,0,0,,
Tommy Cash,1,84.17,20,0,0,,
The Game Featuring Drake,0,91.4,46,0,0,0.663,0.55
Lil' Kim Featuring Da Brat| Left Eye| Missy Elliott & Angie Martinez,0,24.52,230,0,0,,
The Silkie,0,34.6,54,0,0,,
Tupac Featuring The Notorious B.I.G.,1,40.0,209,0,0,,
Lupe Fiasco & Guy Sebastian,1,79.4,207,0,0,,
Liam Payne & Rita Ora,0,83.33,3,0,0,,
Sheppard,1,71.52,228,0,0,,
Frank Slay And His Orchestra,1,63.3,48,0,0,,
SSgt Barry Sadler,0,25.25,117,0,0,,
Shawn Mendes & Justin Bieber,1,60.57,104,0,0,,
Peter Cetera With Amy Grant,1,30.05,230,0,0,,
Juicy J Featuring Wale & Trey Songz,1,83.58,189,0,0,,
T.S. Monk,0,76.25,35,0,0,,
Loverboy,9,52.45,1460,0,0,,
Sandy Nelson,5,48.35,413,0,0,0.64,0.762
Fred Knoblock & Susan Anton,1,52.22,170,0,0,,
Jacquees,2,78.12,167,0,0,,
The Astronauts,0,94.0,1,0,0,,
Golden Earring,10,51.73,613,0,0,,
Ernie Fields & Orch.,1,41.37,224,0,0,,
Lana Del Rey vs. Cedric Gervais,0,23.61,275,0,0,,
Anuel AA & Romeo Santos,1,77.3,209,0,0,,
Lisette Melendez,3,63.85,517,0,0,,
The Castells,1,55.83,171,0,0,,
Klymaxx,2,49.59,862,0,0,,
Classics IV,1,34.06,124,0,0,,
John Rowles,1,75.63,35,0,0,,
50 Cent Featuring Ne-Yo,1,44.38,90,0,0,,
Warrant,3,51.57,917,0,0,,
Willow Featuring Travis Barker,0,87.0,20,0,0,,
Tony Clarke,1,59.5,44,0,0,0.607,0.368
Selena Gomez & Benny Blanco,0,84.0,1,0,0,,
Migos Featuring 21 Savage,0,68.5,2,0,0,,
Lil Baby Featuring Meek Mill,0,62.0,1,0,0,,
Vic Dana,9,61.38,543,0,0,,
Mary J. Blige & Andrea Bocelli,0,75.0,1,0,0,,
Blackbear,3,47.24,1218,0,0,,
Tyrone Davis,15,57.9,608,0,0,,
Kellee Patterson,1,83.88,35,0,0,,
Dreamville Featuring BAS| JID| Guapdad 4000| Reese LAFLARE| Jace| Mez| Smokepurpp| Buddy & Ski Mask The Slump God,0,75.0,1,0,0,,
Jawsh 685 x Jason Derulo,1,20.71,468,0,0,,
Nicky Jam,1,89.68,274,0,0,,
Big Ric,0,92.33,5,0,0,,
21 Savage| Offset & Metro Boomin Featuring Quavo,0,75.33,5,0,0,,
Pitbull Featuring TJR,1,48.0,207,0,0,,
Celebration featuring Mike Love,0,55.42,77,0,0,,
Marva Whitney,0,87.75,9,0,0,,
Franck Pourcel's French Fiddles,0,33.44,135,0,0,,
JACKBOYS & Sheck Wes,0,59.5,2,0,0,,
LaToya Jackson,0,69.5,35,0,0,,
Eminem Featuring Anderson .Paak,0,89.0,1,0,0,,
Jay-Z Featuring Chrisette Michele,1,71.75,35,0,0,,
Iyaz,1,35.65,746,0,0,,
BeBe & CeCe Winans Featuring Mavis Staples,0,96.67,20,0,0,,
Pitbull Featuring Lil Jon,5,60.6,566,0,0,,
Ronnie Spector,0,80.0,9,0,0,,
Casey James,0,93.33,44,0,0,,
Lil Wayne| Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors,0,35.27,252,0,0,,
Chris de Burgh,4,51.07,558,0,0,,
Ice Cube,14,54.33,518,0,0,,
Aretha Franklin With The Ray Bryant Combo,0,84.67,5,0,0,,
The Goodtimers,0,75.44,44,0,0,,
Billie Ray Martin,1,73.74,264,0,0,,
RKM & Ken-Y,0,90.67,3,0,0,,
Jennifer Lopez Featuring LL Cool J,1,11.67,230,0,0,,
Mickey Newbury,2,54.0,70,0,0,,
Jacquees X DeJ Loaf,0,90.29,27,0,0,,
Paul Anka-Geo. Hamilton IV-Johnny Nash,1,45.5,35,0,0,,
The Rays,1,70.8,37,0,0,,
The Silencers,7,89.82,34,0,0,,
August Alsina,1,83.28,170,0,0,,
Moby Featuring Gwen Stefani,1,35.16,527,0,0,,
Cheryl Ladd,0,56.55,65,0,0,,
Dazz Band,3,55.22,367,0,0,,
The Nightcrawlers,0,87.0,9,0,0,,
Lisa Lisa And Cult Jam With Full Force,1,69.39,439,0,0,,
Zac Efron| Andrew Seeley & Vanessa Anne Hudgens,0,65.0,74,0,0,,
James Brown At The Organ,1,71.63,35,0,0,,
Skip And Flip,1,45.33,268,0,0,,
T.I. Featuring Iggy Azalea,0,50.55,209,0,0,,
Bad Bunny X Daddy Yankee,0,72.5,2,0,0,,
Selena Gomez X Marshmello,1,32.45,265,0,0,,
Xzibit Featuring Keri Hilson,0,94.0,9,0,0,,
Athenaeum,0,81.21,104,0,0,,
Nav| Travis Scott & Lil Baby,0,71.0,2,0,0,,
Sexyy Red & Bruno Mars,0,54.86,27,0,0,,
Niteflyte,0,63.54,90,0,0,,
Lil Wayne Featuring Static Major,0,14.32,405,0,0,,
Big Dee Irwin (with Little Eva),0,53.9,54,0,0,,
Black Box,1,42.75,463,0,0,,
Jack Harlow Featuring Big Sean,1,86.0,9,0,0,,
Bobby Peterson,0,96.0,1,0,0,,
Googie Rene Combo,0,79.67,5,0,0,,
Trippie Redd Featuring Lil Baby & Lil Duke,0,76.5,2,0,0,,
Jewell,0,79.22,44,0,0,,
Special Delivery Featuring Terry Huff,0,83.88,35,0,0,,
Chely Wright,1,64.7,263,0,0,,
David Dundas,1,39.48,230,0,0,,
Dana Rollin,0,77.0,20,0,0,,
Alex Warren With Jelly Roll,0,67.85,78,0,0,,
Morgan Wallen Featuring Eric Church,2,61.55,455,0,0,,
Oliver Tree,1,85.0,9,0,0,,
L.A. Style,0,79.7,207,0,0,,
Tyga Featuring Rick Ross,0,89.0,54,0,0,,
The Newbeats,6,44.61,284,0,0,0.796,0.887
Jonn Hart Featuring IamSU!,1,79.07,119,0,0,,
YNW Melly & 9lokknine,1,62.37,189,0,0,0.394,0.339
JC Chasez Featuring Dirt McGirt,0,91.2,14,0,0,,
The Cleftones,1,57.65,74,0,0,,
The Jimmy Castor Bunch,3,43.5,194,0,0,,
The Drifters Featuring Clyde McPhatter And Bill Pinkney,2,92.0,1,0,0,,
Keith Sweat,11,44.45,2079,0,0,,
The American Comedy Network,0,80.6,14,0,0,,
Kodak Black Featuring Travis Scott & Offset,1,16.24,324,0,0,,
Shirley and Lee,0,94.5,18,0,0,,
Diddy - Dirty Money Featuring Drake,0,91.0,1,0,0,,
The Glories,0,82.6,14,0,0,,
The Rings,0,83.6,14,0,0,,
Midi Maxi & Efti,0,98.67,5,0,0,,
Buddy Miles Express,0,100.0,1,0,0,,
Night Ranger,5,50.66,1103,0,0,0.373,0.369
Saraya,1,81.04,102,0,0,,
The Status Quo,0,47.8,157,0,0,,
Gunna & Chloe,0,72.0,1,0,0,,
Foster the People,7,49.29,1064,0,0,,
Garland Green,0,45.7,54,0,0,,
Tyga & Justin Bieber,0,68.0,1,0,0,,
Big Sean Featuring Jeremih,0,97.0,1,0,0,,
Demis Roussos,0,62.64,65,0,0,,
Steel Breeze,1,47.97,299,0,0,,
Keala Settle & The Greatest Showman Ensemble,0,76.57,79,0,0,,
Bad Bunny & Feid,1,75.5,200,0,0,,
Carrie,0,79.63,35,0,0,,
Mr. President,0,39.35,209,0,0,,
Coldplay x BTS,1,45.88,152,0,0,,
Lil Bow Wow Featuring Xscape,1,45.75,189,0,0,,
Thriving Ivory,0,82.89,44,0,0,,
Face To Face,0,60.07,119,0,0,0.38,0.631
Kongas,0,89.57,27,0,0,,
Gunna Featuring Roddy Ricch,0,70.33,5,0,0,,
Bobby Vee,10,48.3,1140,0,0,0.325,0.519
Metro Boomin & James Blake,0,95.0,2,0,0,,
The Kid LAROI Featuring Mustard,0,100.0,1,0,0,,
Boots Brown And His Blockbusters,0,72.25,35,0,0,,
Aaron Carter,1,70.0,121,0,0,,
DaBaby Featuring Ashanti & Megan Thee Stallion,0,73.0,2,0,0,,
Pozo Seco Singers,1,61.67,143,0,0,,
Lidell Townsell,0,43.75,209,0,0,,
Nas Featuring Keri Hilson,0,97.0,1,0,0,,
Christina Milian Featuring Joe Budden,0,100.0,1,0,0,,
Gino Soccio,0,67.17,20,0,0,,
Eurythmics & Aretha Franklin,1,42.6,119,0,0,,
Shabba Ranks (Featuring Maxi Priest),1,56.27,119,0,0,,
Idris Muhammad,0,78.0,2,0,0,,
DJ Khaled Featuring Post Malone| Megan Thee Stallion| Lil Baby & DaBaby,0,65.5,2,0,0,,
Seether,9,77.53,823,0,0,,
Glee Cast Featuring Kristin Chenoweth,2,73.0,1,0,0,,
Kardinal Offishall Featuring Akon,0,27.26,377,0,0,,
Johnny Lytle,0,85.4,14,0,0,,
Notorious,1,91.4,14,0,0,,
KIDS SEE GHOSTS,0,64.0,2,0,0,,
Tyler| the Creator Featuring Lola Young,1,62.57,405,0,0,,
Gym Class Heroes Featuring Patrick Stump,0,23.0,299,0,0,,
Vincent Edwards,0,82.5,2,0,0,,
Baby Talk,0,81.5,20,0,0,,
Lil Tecca & Gunna,0,92.67,2,0,0,,
The Captain & Tennille,0,30.09,275,0,0,,
Michael Jackson Duet With Akon,1,63.67,44,0,0,,
Quavo & TakeOff,1,74.14,185,0,0,,
Johnny Ferguson,0,55.73,119,0,0,,
BRS Kash,1,60.86,252,0,0,,
Gabriel,0,81.5,9,0,0,,
The Swinging Blue Jeans,0,54.12,64,0,0,,
Jon Pardi,10,69.44,1727,0,0,,
Pusha T Featuring Jay-Z & Pharrell Williams,0,86.5,1,0,0,,
The Four Sonics,0,91.0,2,0,0,,
Peter And Gordon,3,37.75,605,0,0,,
Playaz Circle Featuring Lil Wayne,1,37.2,209,0,0,,
The B.C. 52's,0,60.0,35,0,0,0.738,0.825
The Rubinoos,0,68.75,77,0,0,,
Stonebolt,1,58.53,118,0,0,,
David Bowie & Mick Jagger,0,35.29,104,0,0,,
Mike Will Made-It| Nicki Minaj & YoungBoy Never Broke Again,0,35.0,1,0,0,,
Shirley Ellis,4,45.59,306,0,0,0.442,0.6
The Slades,0,76.73,72,0,0,,
Enoch Light & The Light Brigade,1,68.38,27,0,0,,
J.D. Drews,1,85.83,20,0,0,,
Billy Thunderkloud & The Chieftones,0,96.0,5,0,0,,
Roula,0,82.33,119,0,0,,
Pitbull Featuring Chris Brown,4,41.07,467,0,0,,
The Echoes,0,41.67,82,0,0,,
Anything Box,0,74.9,54,0,0,,
Kid LAROI & Juice WRLD,0,76.4,9,0,0,,
Macklemore Featuring Skylar Grey,0,73.89,170,0,0,,
Brian Protheroe,0,75.71,27,0,0,,
A Boogie wit da Hoodie Featuring Roddy Ricch| Gunna & London On Da Track,0,49.67,5,0,0,,
Michael Henderson,0,92.67,5,0,0,,
Playboi Carti & Skepta,0,62.5,2,0,0,,
The Merry-Go-Round,0,83.29,14,0,0,,
Pharrell Williams x Camila Cabello,0,83.0,1,0,0,,
T.M.G.,0,91.5,9,0,0,,
She Moves,1,62.71,328,0,0,,
The Soul Children,5,60.07,136,0,0,,
Jennifer Lopez Featuring Big Pun & Fat Joe,0,70.29,140,0,0,,
John Cafferty & The Beaver Brown Band,6,56.95,839,0,0,,
Marcy Playground,0,23.68,405,0,0,,
Pseudo Echo,0,49.42,163,0,0,,
The Weeknd Featuring Tyler| the Creator,0,52.0,1,0,0,,
Too Short Featuring Parliament Funkadelic,0,78.1,54,0,0,,
Trick Daddy Featuring Lil Jon & Twista,1,23.55,252,0,0,,
Chad & Jeremy,2,48.41,445,0,0,,
Kane Brown & John Legend,0,91.0,2,0,0,,
Emmy Meli,0,90.5,5,0,0,,
Billy Squier,8,60.94,840,0,0,,
Edith Piaf,0,91.67,5,0,0,,
YoungBoy Never Broke Again Featuring Sherhonda Gaulden,0,90.0,1,0,0,,
Megan Moroney & Kenny Chesney,0,86.0,1,0,0,,
Twilight 22,1,87.38,35,0,0,,
Rene & Angela,1,74.39,101,0,0,,
Orion The Hunter,0,73.25,35,0,0,,
The Mob,0,78.86,14,0,0,,
Bob Weir,0,76.6,14,0,0,,
Kim Sanders,0,94.2,49,0,0,,
2 Hyped Brothers & A Dog,0,93.4,14,0,0,,
Brent Faiyaz Featuring Alicia Keys,0,91.0,1,0,0,,
Elton John & Kiki Dee,18,44.72,286,0,0,,
The Ritchie Family,2,45.79,388,0,0,,
Five Star,2,72.62,278,0,0,,
Tainy| Bad Bunny & Julieta Venegas,0,73.75,9,0,0,,
Lil Durk Featuring Juice WRLD,0,68.0,1,0,0,,
21 Savage & Mariah the Scientist,0,70.0,1,0,0,,
Bonnie Guitar,7,98.25,4,0,0,,
Chris Brown Featuring Kevin K-MAC McCall,1,55.25,207,0,0,,
Rosie,0,77.5,9,0,0,,
Ill Al Skratch Featuring Brian McKnight,0,72.14,104,0,0,,
Garrett Hedlund & Leighton Meester,0,88.5,2,0,0,,
Trippie Redd| Future & Lil Baby,0,86.0,1,0,0,,
The Osmonds,6,36.36,766,0,0,,
jessie murph With Teddy Swims,0,79.0,1,0,0,,
Klaatu,0,71.5,20,0,0,,
Hotlegs,0,38.33,44,0,0,,
Wadsworth Mansion,1,42.21,104,0,0,,
Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,0,38.15,209,0,0,,
2 Pistols Featuring T-Pain & Tay Dizm,0,46.3,209,0,0,,
Dynamic Superiors,0,79.0,27,0,0,,
Juice WRLD| Eminem & Benny Blanco,1,89.0,9,0,0,,
Stallion,0,69.67,44,0,0,,
Fanny,4,63.9,151,0,0,,
"<a href=""https://www.billboard.com/artist/lil-Nas-x/"">Lil Nas X & Cardi B Or Nas",1,64.56,35,0,0,,
Carolyne Mas,0,80.8,14,0,0,,
Annette,1,54.33,151,0,0,,
Bone Thugs-N-Harmony Featuring Eazy-E,0,62.14,104,0,0,,
The Brothers Johnson,5,41.95,678,0,0,,
The Church,0,53.8,119,0,0,,
The Tune Rockers,0,65.1,54,0,0,,
The Magnificent Men,0,91.33,2,0,0,,
Before Dark,0,87.56,44,0,0,,
Bing Crosby & The Andrews Sisters,0,36.0,1,0,0,,
Stray Kids Featuring Charlie Puth,0,90.0,1,0,0,,
Coi Leray & Nicki Minaj,0,79.25,6,0,0,,
Tamiko Jones with Herbie Mann,0,88.0,2,0,0,,
Fontella Bass & Bobby McClure,0,59.08,67,0,0,,
ILLIT,0,91.0,1,0,0,,
Paul Revere & The Raiders Featuring Mark Lindsay,4,36.26,744,0,0,,
The Time,8,54.0,565,0,0,0.769,0.732
Roddy Ricch Featuring Mustard,0,30.0,405,0,0,,
Amanda Brown,0,97.0,1,0,0,,
6ix9ine| Fetty Wap & A Boogie wit da Hoodie,0,68.63,35,0,0,,
Bruce Willis,0,51.5,145,0,0,,
Cleopatra,0,57.79,203,0,0,,
Tito Double P,1,86.47,116,0,0,,
Clean Bandit Featuring Demi Lovato,0,74.92,88,0,0,,
The Swans,0,91.5,9,0,0,,
Conan Gray,0,65.53,104,0,0,,
Chino Pacas,0,81.46,90,0,0,,
Talk Talk,4,71.46,145,0,0,,
Young Greatness,0,90.89,37,0,0,,
Masta Ace Incorporated,1,69.64,379,0,0,,
Xymox,0,92.0,5,0,0,,
Felix Cavaliere,0,57.73,65,0,0,,
Coi Leray & Pooh Shiesty,0,80.0,5,0,0,,
Sam Salter,1,72.14,212,0,0,,
Da Brat Featuring T-Boz,0,54.07,119,0,0,,
People's Choice,1,42.32,140,0,0,,
Funkdoobiest,0,94.4,14,0,0,,
Blue Mercedes,0,76.67,20,0,0,,
Link,0,48.63,189,0,0,,
Bobby Sherman,3,34.62,544,0,0,,
Johnnie Morisette,0,76.0,44,0,0,,
Ballin' Jack,0,97.75,9,0,0,,
Marques Houston Featuring Joe Budden & Pied Piper,1,59.15,209,0,0,,
Mai Tai,0,81.0,27,0,0,,
"Joyce ""Fenderella"" Irby",0,77.0,27,0,0,,
Randy Newman & Paul Simon,0,63.75,35,0,0,,
Skrillex| Justin Bieber & Don Toliver,0,69.0,1,0,0,,
Martin Garrix & Bebe Rexha,1,41.83,275,0,0,,
Quavo Featuring Drake,0,48.0,1,0,0,,
Steve Perry,11,47.63,733,0,0,,
Arcangel & Bad Bunny,1,82.0,52,0,0,,
Linda Ronstadt & James Ingram,1,37.82,252,0,0,,
A Boogie wit da Hoodie Featuring Young Thug,0,66.0,1,0,0,,
Michael Johnson,2,47.41,426,0,0,,
New Hollow,1,93.17,10,0,0,,
Fat Joe Featuring Chris Brown,0,87.5,20,0,0,,
The Overlanders,0,83.29,27,0,0,,
Janet & Nelly,0,51.22,170,0,0,,
Gavin DeGraw,9,43.75,1529,0,0,,
Sting Featuring Cheb Mami,0,38.0,350,0,0,,
Future| Metro Boomin & The Weeknd,0,50.57,11,0,0,,
The Kimberlys,0,99.0,1,0,0,,
Instant Funk,0,48.56,170,0,0,,
China Anne McClain,0,93.0,1,0,0,,
Phil Collins and Marilyn Martin,1,23.24,230,0,0,,
Sofia Shinas,0,84.14,27,0,0,,
Guys Next Door,0,70.09,65,0,0,,
Ral Donner,1,46.9,280,0,0,0.646,0.381
Reality,0,86.1,54,0,0,,
Eden's Crush,0,40.71,104,0,0,,
The Watts 103rd Street Rhythm Band,2,60.0,220,0,0,,
Jerry Naylor,0,76.0,9,0,0,,
Sylvia And Ralfi Pagan,0,99.0,2,0,0,,
John & Ernest,0,49.55,65,0,0,,
The Chicago Loop,0,53.57,27,0,0,0.301,0.761
Ca$h Out,2,54.52,212,0,0,,
Get Wet,0,64.44,44,0,0,,
Lil Durk Featuring 21 Savage,0,62.5,2,0,0,,
Nipsey Hussle & Jay-Z,0,51.0,1,0,0,,
Jamo Thomas & His Party Brothers Orchestra,0,99.0,2,0,0,,
Sonny Spencer,0,87.5,9,0,0,,
Naughty by Nature Featuring 3LW,0,81.0,209,0,0,,
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,0,77.67,44,0,0,,
Metro Boomin| Swae Lee| Lil Wayne & Offset,0,57.0,9,0,0,,
The Smithereens,4,66.75,324,0,0,,
Cody Jameson,0,79.5,9,0,0,,
Rosco Martinez,0,75.2,54,0,0,,
Bad Bunny & Chencho Corleone,0,13.31,350,0,0,,
Rob Jungklas,0,88.67,5,0,0,,
Joe Stampley,0,57.77,90,0,0,,
The Wonders,1,65.4,119,0,0,,
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,0,89.67,44,0,0,,
Shirley & Lee,1,74.73,34,0,0,,
Edd Byrnes and Friend,0,58.89,44,0,0,,
Pete Drake And His Talking Steel Guitar,0,49.64,65,0,0,,
BTS Featuring Desiigner,1,73.11,49,0,0,,
The Brat Pack,0,69.53,104,0,0,,
Michael Jackson With Akon,0,90.67,5,0,0,,
Mystikal Featuring Nivea,1,32.85,209,0,0,,
The London Quireboys,0,88.56,44,0,0,,
Far*East Movement Featuring Ryan Tedder,1,33.25,209,0,0,,
Grupo Marca Registrada X Grupo Frontera,0,93.67,5,0,0,,
Vybe,0,87.6,14,0,0,,
Young Gunz Featuring Rell,0,56.0,104,0,0,,
Joey McIntyre,0,44.6,124,0,0,,
Thunderclap Newman,0,58.3,54,0,0,,
"Missy ""Misdemeanor"" Elliott Featuring Nas| Eve & Q-Tip",1,14.33,230,0,0,,
Chris Thompson & Night,0,48.79,189,0,0,,
YG Featuring Drake & Kamaiyah,0,85.5,153,0,0,,
Point Blank,0,60.71,104,0,0,,
Disney's Friends For Change,1,52.33,14,0,0,,
The-Dream,3,46.94,817,0,0,,
Kygo Featuring Conrad,0,92.0,1,0,0,,
Black Eyed Peas X Shakira,0,80.92,88,0,0,,
BTS Featuring Nicki Minaj,0,61.33,5,0,0,,
Pop Smoke Featuring Rowdy Rebel,0,50.0,1,0,0,,
Eminem & White Gold,0,54.67,2,0,0,,
Post Malone Featuring Dolly Parton,0,56.0,1,0,0,,
Empire of the Sun,0,85.0,10,0,0,,
Mel Gadson,0,83.6,14,0,0,,
Bad Wolves,0,78.78,152,0,0,,
Dove Cameron| Cameron Boyce| Booboo Stewart & Sofia Carson,0,62.0,20,0,0,,
Debbie Dean,0,96.0,2,0,0,,
Kanye West Featuring Fred Hammond,0,60.0,1,0,0,,
Lil Uzi Vert Featuring Chief Keef,0,52.5,2,0,0,,
Fruit De La Passion,0,88.75,35,0,0,,
Bull Moose Jackson,0,99.0,2,0,0,,
Madonna Featuring Nicki Minaj,0,89.5,2,0,0,,
StaySolidRocky,0,38.85,209,0,0,,
Ronnie Dyson,6,58.79,335,0,0,0.554,0.872
The Kane Gang,1,64.67,170,0,0,,
Mono,0,80.6,119,0,0,,
Mike Williams,0,77.0,14,0,0,,
Le Pamplemousse,1,78.8,119,0,0,,
Jim Capaldi,11,69.33,140,0,0,,
Baby Keem & Kendrick Lamar,2,60.0,189,0,0,,
Madeline Bell,0,45.33,44,0,0,,
Justin Bieber Featuring Travi$ Scott,0,74.0,5,0,0,,
David Guetta Featuring Chris Brown & Lil Wayne,0,66.5,102,0,0,,
Ruth B,0,45.14,252,0,0,,
Addrisi Brothers,20,57.02,266,0,0,,
Nelly Featuring Fergie,0,59.4,54,0,0,,
Fergie Featuring Ludacris,0,23.79,434,0,0,,
Lil Wayne Featuring Reginae Carter,0,36.0,1,0,0,,
The Arrows Featuring Davie Allan,0,77.29,27,0,0,,
DaBaby Featuring Offset,1,78.55,209,0,0,,
Tainy| Anuel AA & Ozuna,0,92.0,2,0,0,,
Megan Thee Stallion Featuring Yuki Chiba,0,55.55,209,0,0,,
Deep Blue Something,1,30.0,665,0,0,,
Lil Baby & 42 Dugg,0,57.59,353,0,0,,
Little Caesar,1,87.22,23,0,0,,
Sylvester,1,51.14,251,0,0,,
Luis R Conriquez x Neton Vega,0,75.2,209,0,0,,
Diplo| jessie murph & Polo G,0,85.2,14,0,0,,
Kanye West Featuring DJ Khaled,0,86.0,1,0,0,,
Johnny Crawford,3,52.63,308,0,0,,
Post Malone Featuring Doja Cat,1,17.06,637,0,0,,
Tate McRae X Khalid,0,95.33,15,0,0,,
Artie The 1 Man Party,1,80.79,293,0,0,,
Dion & The Belmonts,2,44.95,579,0,0,,
The Mixtures,0,59.18,65,0,0,,
Taylor Swift Featuring Colbie Caillat,0,87.0,1,0,0,,
dog's eye view,0,85.36,104,0,0,,
PARTYNEXTDOOR,8,81.6,32,0,0,,
Fitz And The Tantrums,3,73.56,286,0,0,,
Austin Taylor,0,90.0,2,0,0,,
Glenn Medeiros,1,64.54,478,0,0,,
Lipps| Inc.,0,45.4,302,0,0,,
Pablo Cruise,4,47.57,1044,0,0,,
Da Brat Featuring Tyrese,0,48.4,209,0,0,,
Lady Flash,0,51.0,77,0,0,,
Natalie Featuring Baby Bash,0,75.0,35,0,0,,
Case & Joe,1,50.65,209,0,0,,
The Showmen,3,75.44,114,0,0,,
Charles Fox,0,84.5,9,0,0,,
Baby Boy da Prince Featuring Lil Boosie,1,43.88,350,0,0,,
J.J. Barnes,1,80.13,68,0,0,,
D4L,1,40.53,385,0,0,,
Les McCann & Eddie Harris,0,89.0,9,0,0,,
Rick And The Keens,0,73.5,35,0,0,,
The Braxtons,0,92.75,30,0,0,,
Sammy Turner,1,46.39,317,0,0,,
Ozuna x Manuel Turizo,0,97.0,1,0,0,,
Calvin Harris Featuring Rihanna,0,11.91,527,0,0,,
Nav With Gunna,0,84.0,1,0,0,,
Herman Brood,0,56.55,65,0,0,,
Godley & Creme,0,42.88,152,0,0,,
Rick Ross Featuring Young Thug & Wale,0,97.0,1,0,0,,
Lil Mosey x Gunna,0,81.0,7,0,0,,
Transvision Vamp,0,90.33,5,0,0,,
Candi,0,74.43,27,0,0,,
Nick Jameson,0,95.0,2,0,0,,
Waldo De Los Rios,0,74.88,35,0,0,,
Def Leppard,13,46.01,2643,0,0,,
People,0,45.33,170,0,0,,
DeJ Loaf Featuring Big Sean,1,61.33,170,0,0,,
Big Tymers Featuring Tateeze| Boo & Gotti,0,69.83,170,0,0,,
High School Musical 3 Cast,0,82.33,3,0,0,,
Fern Kinney,0,67.38,35,0,0,,
Adam Faith With The Roulettes,0,60.0,35,0,0,,
The Olympics,8,68.82,446,0,0,0.502,0.5525
The Kid LAROI & Justin Bieber,1,7.92,2015,0,0,,
Game Featuring Lil Wayne & Tyler| the Creator,0,100.0,1,0,0,,
Playboi Carti & The Weeknd,0,69.83,275,0,0,,
Kendrick Lamar & Travis Scott,0,77.0,2,0,0,,
Spencer Ross,1,35.5,104,0,0,,
Romeo Santos & Justin Timberlake,0,100.0,1,0,0,,
Seatrain,0,58.33,77,0,0,,
Trick Daddy,0,48.5,209,0,0,,
Will Smith Featuring K-Ci,1,48.85,90,0,0,,
Ice Cube Featuring Mack 10 & Ms. Toi,1,56.08,77,0,0,,
Tyler Hubbard,3,55.33,610,0,0,0.489,0.45
Chris Medina,0,83.0,1,0,0,,
Total Coelo,0,74.5,20,0,0,,
Jamie Walters,0,33.48,377,0,0,,
